emotion,base_mean,sft_s0_delta,ci_lo,ci_hi,bh_fdr_sig,sft_s1_delta,flat_instr_delta,neutral_sys_delta
rattled,0.1129,-0.0139,-0.0163,-0.0116,1,-0.0144,-0.0216,-0.0073
reflective,0.0029,-0.0144,-0.0160,-0.0128,1,-0.0193,-0.0574,0.0030
bitter,-0.0294,-0.0150,-0.0166,-0.0133,1,-0.0151,-0.0165,0.0006
tormented,0.0785,-0.0153,-0.0176,-0.0130,1,-0.0233,-0.0557,0.0007
serene,0.0345,-0.0156,-0.0178,-0.0134,1,-0.0117,-0.0112,-0.0011
enraged,0.0284,-0.0156,-0.0170,-0.0143,1,-0.0156,-0.0177,0.0020
stressed,0.0593,-0.0175,-0.0198,-0.0154,1,-0.0168,-0.0013,-0.0004
furious,0.0135,-0.0184,-0.0202,-0.0168,1,-0.0201,0.0088,-0.0005
outraged,0.0437,-0.0191,-0.0209,-0.0174,1,-0.0177,-0.0116,0.0030
safe,0.0135,-0.0194,-0.0216,-0.0171,1,-0.0150,-0.0142,-0.0007
sleepy,-0.0138,-0.0194,-0.0213,-0.0174,1,-0.0207,-0.0086,-0.0019
angry,0.0047,-0.0196,-0.0213,-0.0180,1,-0.0210,-0.0011,0.0031
relieved,-0.0281,-0.0214,-0.0232,-0.0196,1,-0.0245,-0.0243,-0.0004
upset,0.0715,-0.0218,-0.0235,-0.0200,1,-0.0237,-0.0376,0.0022
invigorated,0.0511,-0.0225,-0.0243,-0.0209,1,-0.0189,-0.0232,-0.0036
valiant,0.0025,-0.0234,-0.0257,-0.0211,1,-0.0187,0.0051,-0.0033
desperate,0.0075,-0.0244,-0.0264,-0.0225,1,-0.0286,-0.0076,0.0026
kind,0.0262,-0.0247,-0.0267,-0.0228,1,-0.0221,-0.0406,0.0020
awestruck,-0.0176,-0.0253,-0.0281,-0.0226,1,-0.0216,0.0036,-0.0045
satisfied,0.0052,-0.0270,-0.0289,-0.0251,1,-0.0203,-0.0176,0.0006
grateful,0.0221,-0.0288,-0.0307,-0.0269,1,-0.0300,-0.0454,0.0034
enthusiastic,-0.0022,-0.0292,-0.0310,-0.0273,1,-0.0284,-0.0463,-0.0003
guilty,0.0476,-0.0303,-0.0323,-0.0285,1,-0.0301,-0.0653,0.0018
nostalgic,-0.0274,-0.0307,-0.0327,-0.0286,1,-0.0307,-0.0282,-0.0006
excited,0.0558,-0.0327,-0.0346,-0.0307,1,-0.0322,-0.0452,0.0005
hurt,0.0425,-0.0340,-0.0358,-0.0322,1,-0.0389,-0.0659,-0.0002
sentimental,-0.0063,-0.0359,-0.0381,-0.0336,1,-0.0358,-0.0414,-0.0001
refreshed,0.0760,-0.0367,-0.0390,-0.0345,1,-0.0360,-0.0605,-0.0015
proud,0.0207,-0.0370,-0.0390,-0.0350,1,-0.0351,-0.0381,0.0003
mad,0.0931,-0.0377,-0.0399,-0.0355,1,-0.0371,-0.0660,-0.0026
regretful,0.0377,-0.0378,-0.0401,-0.0356,1,-0.0401,-0.0174,0.0009
loving,-0.0074,-0.0398,-0.0424,-0.0371,1,-0.0415,-0.0569,-0.0005
fulfilled,0.0326,-0.0400,-0.0423,-0.0375,1,-0.0388,-0.0601,-0.0005
blissful,0.0132,-0.0412,-0.0435,-0.0387,1,-0.0385,-0.0353,-0.0045
joyful,0.0408,-0.0419,-0.0444,-0.0395,1,-0.0419,-0.0719,-0.0004
energized,0.0349,-0.0440,-0.0460,-0.0421,1,-0.0442,-0.0510,-0.0040
eager,-0.0197,-0.0447,-0.0465,-0.0429,1,-0.0413,-0.0134,-0.0012
distressed,0.0813,-0.0466,-0.0491,-0.0439,1,-0.0526,-0.0671,0.0020
optimistic,0.0192,-0.0472,-0.0491,-0.0453,1,-0.0433,-0.0372,-0.0007
thrilled,0.0427,-0.0474,-0.0500,-0.0448,1,-0.0461,-0.0504,-0.0027
pleased,0.0232,-0.0519,-0.0542,-0.0497,1,-0.0528,-0.0539,-0.0026
exuberant,-0.0234,-0.0527,-0.0555,-0.0500,1,-0.0550,-0.0800,0.0005
compassionate,0.0911,-0.0533,-0.0560,-0.0508,1,-0.0542,-0.0728,0.0020
sorry,0.1053,-0.0535,-0.0567,-0.0505,1,-0.0592,-0.0963,0.0024
ecstatic,0.0131,-0.0537,-0.0564,-0.0511,1,-0.0553,-0.0707,-0.0036
jubilant,-0.0057,-0.0540,-0.0572,-0.0509,1,-0.0567,-0.0759,-0.0018
triumphant,0.0183,-0.0542,-0.0571,-0.0514,1,-0.0508,-0.0394,-0.0010
euphoric,0.0447,-0.0559,-0.0590,-0.0529,1,-0.0585,-0.0775,-0.0041
elated,0.0249,-0.0573,-0.0608,-0.0540,1,-0.0564,-0.0533,-0.0038
happy,-0.0158,-0.0579,-0.0605,-0.0555,1,-0.0618,-0.0925,-0.0006
thankful,0.0193,-0.0594,-0.0613,-0.0575,1,-0.0637,-0.0757,0.0007
heartbroken,0.0592,-0.0604,-0.0639,-0.0568,1,-0.0627,-0.0840,0.0007
remorseful,0.1030,-0.0619,-0.0647,-0.0592,1,-0.0651,-0.0782,0.0009
gloomy,0.0994,-0.0674,-0.0692,-0.0656,1,-0.0682,-0.0599,0.0018
delighted,0.0796,-0.0740,-0.0771,-0.0708,1,-0.0726,-0.0728,-0.0007
